LOAN_PAYMENT_ID,LOAN_ID,SCHEDULED_PAYMENT_DATE,ACTUAL_PAYMENT_DATE,SCHEDULED_AMOUNT,TOTAL_PAYMENT_AMOUNT,PRINCIPAL_AMOUNT,INTEREST_AMOUNT,FEE_AMOUNT,PAYMENT_STATUS,PAYMENT_METHOD,CREATED_TS,UPDATED_TS
19,1,2015-02-26,2015-02-26,536.46,536.46,351.34,185.12,0.0,PAID,TRANSFER,2015-02-26 00:00:00,2026-07-18 00:00:00
20,1,2015-03-29,2015-03-29,536.46,536.46,354.7,181.76,0.0,PAID,BRANCH,2015-03-29 00:00:00,2026-07-18 00:00:00
21,2,2020-08-17,2020-08-17,1486.44,1486.44,772.61,713.83,0.0,PAID,BRANCH,2020-08-17 00:00:00,2026-07-18 00:00:00
22,2,2020-09-17,2020-09-17,1486.44,1486.44,783.21,703.23,0.0,PAID,BRANCH,2020-09-17 00:00:00,2026-07-18 00:00:00
23,2,2020-10-17,2020-10-24,1486.44,783.86,91.38,692.48,0.0,PARTIAL,TRANSFER,2020-10-17 00:00:00,2026-07-18 00:00:00
24,2,2020-11-17,2020-11-17,1486.44,1486.44,795.22,691.22,0.0,PAID,BRANCH,2020-11-17 00:00:00,2026-07-18 00:00:00
25,2,2020-12-17,2021-01-06,1486.44,690.72,10.41,680.31,0.0,PARTIAL,ACH,2020-12-17 00:00:00,2026-07-18 00:00:00
26,2,2021-01-17,2021-01-17,1486.44,1486.44,806.28,680.16,0.0,PAID,BRANCH,2021-01-17 00:00:00,2026-07-18 00:00:00
27,2,2021-02-16,2021-02-18,1486.44,1486.44,778.8,669.1,38.54,LATE,TRANSFER,2021-02-16 00:00:00,2026-07-18 00:00:00
28,2,2021-03-19,2021-03-19,1486.44,1486.44,828.03,658.41,0.0,PAID,TRANSFER,2021-03-19 00:00:00,2026-07-18 00:00:00
29,2,2021-04-18,2021-04-18,1486.44,1486.44,839.4,647.04,0.0,PAID,CHECK,2021-04-18 00:00:00,2026-07-18 00:00:00
30,2,2021-05-18,2021-05-18,1486.44,1486.44,850.92,635.52,0.0,PAID,ACH,2021-05-18 00:00:00,2026-07-18 00:00:00
31,2,2021-06-18,2021-06-18,1486.44,1486.44,862.6,623.84,0.0,PAID,CHECK,2021-06-18 00:00:00,2026-07-18 00:00:00
32,2,2021-07-18,2021-07-18,1486.44,1486.44,874.44,612.0,0.0,PAID,BRANCH,2021-07-18 00:00:00,2026-07-18 00:00:00
33,2,2021-08-18,2021-08-18,1486.44,1486.44,886.44,600.0,0.0,PAID,ACH,2021-08-18 00:00:00,2026-07-18 00:00:00
34,2,2021-09-17,2021-09-17,1486.44,1486.44,898.61,587.83,0.0,PAID,CHECK,2021-09-17 00:00:00,2026-07-18 00:00:00
35,2,2021-10-18,2021-11-06,1486.44,1486.44,889.79,575.5,21.15,LATE,BRANCH,2021-10-18 00:00:00,2026-07-18 00:00:00
36,2,2021-11-17,2021-11-17,1486.44,1486.44,923.16,563.28,0.0,PAID,BRANCH,2021-11-17 00:00:00,2026-07-18 00:00:00
37,2,2021-12-17,2021-12-17,1486.44,1486.44,935.83,550.61,0.0,PAID,AUTOPAY,2021-12-17 00:00:00,2026-07-18 00:00:00
38,2,2022-01-17,2022-01-29,1486.44,791.58,253.81,537.77,0.0,PARTIAL,ACH,2022-01-17 00:00:00,2026-07-18 00:00:00
39,2,2022-02-16,2022-02-16,1486.44,1486.44,952.16,534.28,0.0,PAID,ACH,2022-02-16 00:00:00,2026-07-18 00:00:00
40,2,2022-03-19,2022-03-19,1486.44,1486.44,965.23,521.21,0.0,PAID,TRANSFER,2022-03-19 00:00:00,2026-07-18 00:00:00
41,2,2022-04-18,2022-04-18,1486.44,1486.44,978.48,507.96,0.0,PAID,TRANSFER,2022-04-18 00:00:00,2026-07-18 00:00:00
42,2,2022-05-19,2022-06-05,1486.44,1486.44,963.25,494.53,28.66,LATE,ACH,2022-05-19 00:00:00,2026-07-18 00:00:00
43,3,2024-08-05,2024-08-08,5135.67,5135.67,532.4,4571.22,32.05,LATE,CHECK,2024-08-05 00:00:00,2026-07-18 00:00:00
44,3,2024-09-05,2024-09-08,5135.67,5135.67,541.55,4567.94,26.18,LATE,AUTOPAY,2024-09-05 00:00:00,2026-07-18 00:00:00
45,3,2024-10-05,2024-10-05,5135.67,5135.67,571.06,4564.61,0.0,PAID,CHECK,2024-10-05 00:00:00,2026-07-18 00:00:00
46,3,2024-11-05,2024-11-05,5135.67,5135.67,574.57,4561.1,0.0,PAID,ACH,2024-11-05 00:00:00,2026-07-18 00:00:00
47,3,2024-12-05,2024-12-05,5135.67,5135.67,578.11,4557.56,0.0,PAID,CHECK,2024-12-05 00:00:00,2026-07-18 00:00:00
48,3,2025-01-05,2025-01-05,5135.67,5135.67,581.66,4554.01,0.0,PAID,ACH,2025-01-05 00:00:00,2026-07-18 00:00:00
49,3,2025-02-04,2025-02-04,5135.67,5135.67,585.24,4550.43,0.0,PAID,BRANCH,2025-02-04 00:00:00,2026-07-18 00:00:00
50,3,2025-03-07,2025-03-07,5135.67,5135.67,588.84,4546.83,0.0,PAID,BRANCH,2025-03-07 00:00:00,2026-07-18 00:00:00
51,3,2025-04-06,2025-05-11,5135.67,5135.67,569.26,4543.2,23.21,LATE,AUTOPAY,2025-04-06 00:00:00,2026-07-18 00:00:00
52,3,2025-05-06,2025-05-06,5135.67,5135.67,595.97,4539.7,0.0,PAID,ACH,2025-05-06 00:00:00,2026-07-18 00:00:00
53,3,2025-06-06,2025-06-06,5135.67,5135.67,599.63,4536.04,0.0,PAID,BRANCH,2025-06-06 00:00:00,2026-07-18 00:00:00
54,3,2025-07-06,2025-07-23,5135.67,5135.67,589.47,4532.35,13.85,LATE,AUTOPAY,2025-07-06 00:00:00,2026-07-18 00:00:00
55,3,2025-08-06,2025-08-06,5135.67,5135.67,606.95,4528.72,0.0,PAID,AUTOPAY,2025-08-06 00:00:00,2026-07-18 00:00:00
56,3,2025-09-05,2025-09-05,5135.67,5135.67,610.68,4524.99,0.0,PAID,ACH,2025-09-05 00:00:00,2026-07-18 00:00:00
57,3,2025-10-06,2025-10-06,5135.67,5135.67,614.44,4521.23,0.0,PAID,AUTOPAY,2025-10-06 00:00:00,2026-07-18 00:00:00
58,3,2025-11-05,2025-11-05,5135.67,5135.67,618.22,4517.45,0.0,PAID,CHECK,2025-11-05 00:00:00,2026-07-18 00:00:00
59,3,2025-12-05,2025-12-05,5135.67,5135.67,622.03,4513.64,0.0,PAID,CHECK,2025-12-05 00:00:00,2026-07-18 00:00:00
60,3,2026-01-05,2026-01-05,5135.67,5135.67,625.85,4509.82,0.0,PAID,ACH,2026-01-05 00:00:00,2026-07-18 00:00:00
61,3,2026-02-04,2026-02-04,5135.67,5135.67,629.7,4505.97,0.0,PAID,BRANCH,2026-02-04 00:00:00,2026-07-18 00:00:00
62,3,2026-03-07,2026-03-07,5135.67,5135.67,633.58,4502.09,0.0,PAID,AUTOPAY,2026-03-07 00:00:00,2026-07-18 00:00:00
63,4,2026-05-07,2026-05-07,2084.2,2084.2,493.58,1590.62,0.0,PAID,CHECK,2026-05-07 00:00:00,2026-07-18 00:00:00
64,4,2026-06-07,2026-06-07,2084.2,2084.2,497.55,1586.65,0.0,PAID,TRANSFER,2026-06-07 00:00:00,2026-07-18 00:00:00
65,4,2026-07-07,2026-07-07,2084.2,2084.2,501.55,1582.65,0.0,PAID,BRANCH,2026-07-07 00:00:00,2026-07-18 00:00:00
66,5,2012-05-28,2012-05-28,336.62,336.62,176.6,160.02,0.0,PAID,TRANSFER,2012-05-28 00:00:00,2026-07-18 00:00:00
67,5,2012-06-28,2012-06-28,336.62,336.62,178.19,158.43,0.0,PAID,CHECK,2012-06-28 00:00:00,2026-07-18 00:00:00
68,5,2012-07-28,2012-07-28,336.62,336.62,179.79,156.83,0.0,PAID,TRANSFER,2012-07-28 00:00:00,2026-07-18 00:00:00
69,5,2012-08-28,2012-08-28,336.62,336.62,181.41,155.21,0.0,PAID,AUTOPAY,2012-08-28 00:00:00,2026-07-18 00:00:00
70,5,2012-09-27,2012-09-27,336.62,336.62,183.04,153.58,0.0,PAID,ACH,2012-09-27 00:00:00,2026-07-18 00:00:00
71,5,2012-10-28,2012-10-28,336.62,336.62,184.69,151.93,0.0,PAID,BRANCH,2012-10-28 00:00:00,2026-07-18 00:00:00
72,5,2012-11-27,2012-11-27,336.62,336.62,186.35,150.27,0.0,PAID,CHECK,2012-11-27 00:00:00,2026-07-18 00:00:00
73,5,2012-12-28,,336.62,0.0,0.0,0.0,0.0,MISSED,ACH,2012-12-28 00:00:00,2026-07-18 00:00:00
74,5,2013-01-27,2013-01-27,336.62,336.62,188.03,148.59,0.0,PAID,ACH,2013-01-27 00:00:00,2026-07-18 00:00:00
75,5,2013-02-26,2013-02-26,336.62,336.62,189.72,146.9,0.0,PAID,CHECK,2013-02-26 00:00:00,2026-07-18 00:00:00
76,5,2013-03-29,2013-03-29,336.62,336.62,191.43,145.19,0.0,PAID,TRANSFER,2013-03-29 00:00:00,2026-07-18 00:00:00
77,5,2013-04-28,2013-04-28,336.62,336.62,193.15,143.47,0.0,PAID,BRANCH,2013-04-28 00:00:00,2026-07-18 00:00:00
78,5,2013-05-29,2013-05-29,336.62,336.62,194.89,141.73,0.0,PAID,TRANSFER,2013-05-29 00:00:00,2026-07-18 00:00:00
79,5,2013-06-28,2013-06-28,336.62,336.62,196.65,139.97,0.0,PAID,AUTOPAY,2013-06-28 00:00:00,2026-07-18 00:00:00
80,5,2013-07-29,2013-07-29,336.62,336.62,198.41,138.21,0.0,PAID,CHECK,2013-07-29 00:00:00,2026-07-18 00:00:00
81,5,2013-08-28,2013-08-28,336.62,336.62,200.2,136.42,0.0,PAID,TRANSFER,2013-08-28 00:00:00,2026-07-18 00:00:00
82,5,2013-09-27,2013-09-27,336.62,336.62,202.0,134.62,0.0,PAID,ACH,2013-09-27 00:00:00,2026-07-18 00:00:00
83,6,2013-04-07,2013-04-07,2307.37,2307.37,620.95,1686.42,0.0,PAID,AUTOPAY,2013-04-07 00:00:00,2026-07-18 00:00:00
84,6,2013-05-08,2013-05-30,2307.37,2307.37,585.6,1681.87,39.9,LATE,CHECK,2013-05-08 00:00:00,2026-07-18 00:00:00
85,6,2013-06-07,2013-06-07,2307.37,2307.37,629.78,1677.59,0.0,PAID,BRANCH,2013-06-07 00:00:00,2026-07-18 00:00:00
86,6,2013-07-08,2013-07-08,2307.37,2307.37,634.39,1672.98,0.0,PAID,BRANCH,2013-07-08 00:00:00,2026-07-18 00:00:00
87,6,2013-08-07,2013-08-07,2307.37,2307.37,639.03,1668.34,0.0,PAID,TRANSFER,2013-08-07 00:00:00,2026-07-18 00:00:00
88,6,2013-09-07,2013-09-07,2307.37,2307.37,643.71,1663.66,0.0,PAID,TRANSFER,2013-09-07 00:00:00,2026-07-18 00:00:00
89,6,2013-10-07,2013-10-07,2307.37,2307.37,648.42,1658.95,0.0,PAID,TRANSFER,2013-10-07 00:00:00,2026-07-18 00:00:00
90,6,2013-11-07,2013-11-07,2307.37,2307.37,653.17,1654.2,0.0,PAID,ACH,2013-11-07 00:00:00,2026-07-18 00:00:00
91,6,2013-12-07,2013-12-16,2307.37,1649.42,0.0,1649.42,0.0,PARTIAL,BRANCH,2013-12-07 00:00:00,2026-07-18 00:00:00
92,6,2014-01-06,2014-01-06,2307.37,2307.37,657.95,1649.42,0.0,PAID,ACH,2014-01-06 00:00:00,2026-07-18 00:00:00
93,6,2014-02-06,2014-02-06,2307.37,2307.37,662.76,1644.61,0.0,PAID,TRANSFER,2014-02-06 00:00:00,2026-07-18 00:00:00
94,6,2014-03-08,2014-03-08,2307.37,2307.37,667.61,1639.76,0.0,PAID,TRANSFER,2014-03-08 00:00:00,2026-07-18 00:00:00
95,6,2014-04-08,2014-04-08,2307.37,2307.37,672.5,1634.87,0.0,PAID,BRANCH,2014-04-08 00:00:00,2026-07-18 00:00:00
96,6,2014-05-08,2014-05-08,2307.37,2307.37,677.42,1629.95,0.0,PAID,ACH,2014-05-08 00:00:00,2026-07-18 00:00:00
97,7,2021-02-08,2021-02-08,4926.22,4926.22,1000.67,3925.55,0.0,PAID,AUTOPAY,2021-02-08 00:00:00,2026-07-18 00:00:00
98,7,2021-03-11,2021-03-11,4926.22,4926.22,1007.34,3918.88,0.0,PAID,CHECK,2021-03-11 00:00:00,2026-07-18 00:00:00
99,7,2021-04-10,2021-04-10,4926.22,4926.22,1014.05,3912.17,0.0,PAID,CHECK,2021-04-10 00:00:00,2026-07-18 00:00:00
100,7,2021-05-11,2021-05-11,4926.22,4926.22,1020.81,3905.41,0.0,PAID,TRANSFER,2021-05-11 00:00:00,2026-07-18 00:00:00
101,7,2021-06-10,2021-06-10,4926.22,4926.22,1027.61,3898.61,0.0,PAID,CHECK,2021-06-10 00:00:00,2026-07-18 00:00:00
102,7,2021-07-11,2021-07-11,4926.22,4926.22,1034.46,3891.76,0.0,PAID,AUTOPAY,2021-07-11 00:00:00,2026-07-18 00:00:00
103,7,2021-08-10,2021-08-10,4926.22,4926.22,1041.35,3884.87,0.0,PAID,AUTOPAY,2021-08-10 00:00:00,2026-07-18 00:00:00
104,7,2021-09-10,2021-09-10,4926.22,4926.22,1048.29,3877.93,0.0,PAID,CHECK,2021-09-10 00:00:00,2026-07-18 00:00:00
105,7,2021-10-10,2021-10-10,4926.22,4926.22,1055.28,3870.94,0.0,PAID,AUTOPAY,2021-10-10 00:00:00,2026-07-18 00:00:00
106,7,2021-11-09,2021-11-09,4926.22,4926.22,1062.31,3863.91,0.0,PAID,CHECK,2021-11-09 00:00:00,2026-07-18 00:00:00
107,7,2021-12-10,2021-12-10,4926.22,4926.22,1069.39,3856.83,0.0,PAID,CHECK,2021-12-10 00:00:00,2026-07-18 00:00:00
108,7,2022-01-09,2022-01-09,4926.22,4926.22,1076.51,3849.71,0.0,PAID,AUTOPAY,2022-01-09 00:00:00,2026-07-18 00:00:00
109,7,2022-02-09,2022-02-09,4926.22,4926.22,1083.69,3842.53,0.0,PAID,CHECK,2022-02-09 00:00:00,2026-07-18 00:00:00
110,7,2022-03-11,2022-03-11,4926.22,4926.22,1090.91,3835.31,0.0,PAID,AUTOPAY,2022-03-11 00:00:00,2026-07-18 00:00:00
111,7,2022-04-11,2022-04-11,4926.22,4926.22,1098.18,3828.04,0.0,PAID,CHECK,2022-04-11 00:00:00,2026-07-18 00:00:00
112,7,2022-05-11,2022-05-11,4926.22,4926.22,1105.49,3820.73,0.0,PAID,BRANCH,2022-05-11 00:00:00,2026-07-18 00:00:00
113,7,2022-06-10,2022-06-10,4926.22,4926.22,1112.86,3813.36,0.0,PAID,AUTOPAY,2022-06-10 00:00:00,2026-07-18 00:00:00
114,7,2022-07-11,,4926.22,0.0,0.0,0.0,0.0,MISSED,BRANCH,2022-07-11 00:00:00,2026-07-18 00:00:00
115,7,2022-08-10,2022-08-10,4926.22,4926.22,1120.27,3805.95,0.0,PAID,CHECK,2022-08-10 00:00:00,2026-07-18 00:00:00
116,7,2022-09-10,2022-09-10,4926.22,4926.22,1127.74,3798.48,0.0,PAID,TRANSFER,2022-09-10 00:00:00,2026-07-18 00:00:00
117,7,2022-10-10,2022-10-10,4926.22,4926.22,1135.25,3790.97,0.0,PAID,TRANSFER,2022-10-10 00:00:00,2026-07-18 00:00:00
118,7,2022-11-10,2022-11-10,4926.22,4926.22,1142.82,3783.4,0.0,PAID,TRANSFER,2022-11-10 00:00:00,2026-07-18 00:00:00
119,7,2022-12-10,2022-12-10,4926.22,4926.22,1150.43,3775.79,0.0,PAID,AUTOPAY,2022-12-10 00:00:00,2026-07-18 00:00:00
120,7,2023-01-09,2023-01-09,4926.22,4926.22,1158.1,3768.12,0.0,PAID,ACH,2023-01-09 00:00:00,2026-07-18 00:00:00
121,7,2023-02-09,2023-02-09,4926.22,4926.22,1165.82,3760.4,0.0,PAID,BRANCH,2023-02-09 00:00:00,2026-07-18 00:00:00
122,7,2023-03-11,2023-03-11,4926.22,4926.22,1173.58,3752.64,0.0,PAID,BRANCH,2023-03-11 00:00:00,2026-07-18 00:00:00
123,7,2023-04-11,2023-04-11,4926.22,4926.22,1181.4,3744.82,0.0,PAID,CHECK,2023-04-11 00:00:00,2026-07-18 00:00:00
124,7,2023-05-11,2023-05-11,4926.22,4926.22,1189.28,3736.94,0.0,PAID,CHECK,2023-05-11 00:00:00,2026-07-18 00:00:00
125,7,2023-06-11,2023-06-11,4926.22,4926.22,1197.2,3729.02,0.0,PAID,BRANCH,2023-06-11 00:00:00,2026-07-18 00:00:00
126,7,2023-07-11,2023-07-11,4926.22,4926.22,1205.18,3721.04,0.0,PAID,CHECK,2023-07-11 00:00:00,2026-07-18 00:00:00
127,7,2023-08-11,2023-08-11,4926.22,4926.22,1213.21,3713.01,0.0,PAID,ACH,2023-08-11 00:00:00,2026-07-18 00:00:00
128,7,2023-09-10,2023-09-10,4926.22,4926.22,1221.29,3704.93,0.0,PAID,TRANSFER,2023-09-10 00:00:00,2026-07-18 00:00:00
129,7,2023-10-10,2023-10-10,4926.22,4926.22,1229.43,3696.79,0.0,PAID,BRANCH,2023-10-10 00:00:00,2026-07-18 00:00:00
130,8,2023-06-01,2023-06-01,216.01,216.01,137.65,78.36,0.0,PAID,AUTOPAY,2023-06-01 00:00:00,2026-07-18 00:00:00
131,8,2023-07-02,2023-07-12,216.01,97.83,20.51,77.32,0.0,PARTIAL,CHECK,2023-07-02 00:00:00,2026-07-18 00:00:00
132,8,2023-08-01,2023-08-01,216.01,216.01,138.84,77.17,0.0,PAID,TRANSFER,2023-08-01 00:00:00,2026-07-18 00:00:00
133,8,2023-09-01,2023-09-01,216.01,216.01,139.89,76.12,0.0,PAID,ACH,2023-09-01 00:00:00,2026-07-18 00:00:00
134,8,2023-10-01,2023-10-01,216.01,216.01,140.94,75.07,0.0,PAID,AUTOPAY,2023-10-01 00:00:00,2026-07-18 00:00:00
135,8,2023-11-01,2023-11-01,216.01,216.01,142.01,74.0,0.0,PAID,AUTOPAY,2023-11-01 00:00:00,2026-07-18 00:00:00
136,8,2023-12-01,2023-12-01,216.01,216.01,143.08,72.93,0.0,PAID,BRANCH,2023-12-01 00:00:00,2026-07-18 00:00:00
137,8,2024-01-01,2024-01-01,216.01,216.01,144.16,71.85,0.0,PAID,ACH,2024-01-01 00:00:00,2026-07-18 00:00:00
138,8,2024-01-31,2024-01-31,216.01,216.01,145.24,70.77,0.0,PAID,AUTOPAY,2024-01-31 00:00:00,2026-07-18 00:00:00
139,8,2024-03-01,2024-03-01,216.01,216.01,146.34,69.67,0.0,PAID,ACH,2024-03-01 00:00:00,2026-07-18 00:00:00
140,8,2024-04-01,2024-04-23,216.01,216.01,111.18,68.57,36.26,LATE,ACH,2024-04-01 00:00:00,2026-07-18 00:00:00
141,8,2024-05-01,2024-05-01,216.01,216.01,148.28,67.73,0.0,PAID,TRANSFER,2024-05-01 00:00:00,2026-07-18 00:00:00
142,8,2024-06-01,2024-06-01,216.01,216.01,149.4,66.61,0.0,PAID,BRANCH,2024-06-01 00:00:00,2026-07-18 00:00:00
143,8,2024-07-01,2024-07-01,216.01,216.01,150.52,65.49,0.0,PAID,CHECK,2024-07-01 00:00:00,2026-07-18 00:00:00
144,8,2024-08-01,2024-09-02,216.01,216.01,118.91,64.35,32.75,LATE,CHECK,2024-08-01 00:00:00,2026-07-18 00:00:00
145,8,2024-08-31,2024-08-31,216.01,216.01,152.55,63.46,0.0,PAID,ACH,2024-08-31 00:00:00,2026-07-18 00:00:00
146,8,2024-09-30,,216.01,0.0,0.0,0.0,0.0,MISSED,AUTOPAY,2024-09-30 00:00:00,2026-07-18 00:00:00
147,9,2016-12-17,2016-12-17,1522.33,1522.33,915.65,606.68,0.0,PAID,BRANCH,2016-12-17 00:00:00,2026-07-18 00:00:00
148,9,2017-01-17,2017-01-17,1522.33,1522.33,923.44,598.89,0.0,PAID,BRANCH,2017-01-17 00:00:00,2026-07-18 00:00:00
149,9,2017-02-16,2017-02-16,1522.33,1522.33,931.3,591.03,0.0,PAID,ACH,2017-02-16 00:00:00,2026-07-18 00:00:00
150,9,2017-03-19,2017-04-06,1522.33,1522.33,903.96,583.1,35.27,LATE,TRANSFER,2017-03-19 00:00:00,2026-07-18 00:00:00
151,9,2017-04-18,2017-05-21,1522.33,1522.33,927.06,575.41,19.86,LATE,TRANSFER,2017-04-18 00:00:00,2026-07-18 00:00:00
152,9,2017-05-19,,1522.33,0.0,0.0,0.0,0.0,MISSED,ACH,2017-05-19 00:00:00,2026-07-18 00:00:00
153,9,2017-06-18,2017-06-18,1522.33,1522.33,954.8,567.53,0.0,PAID,BRANCH,2017-06-18 00:00:00,2026-07-18 00:00:00
154,9,2017-07-19,2017-07-19,1522.33,1522.33,962.93,559.4,0.0,PAID,BRANCH,2017-07-19 00:00:00,2026-07-18 00:00:00
155,9,2017-08-18,2017-08-18,1522.33,1522.33,971.12,551.21,0.0,PAID,BRANCH,2017-08-18 00:00:00,2026-07-18 00:00:00
156,9,2017-09-17,2017-09-17,1522.33,1522.33,979.39,542.94,0.0,PAID,ACH,2017-09-17 00:00:00,2026-07-18 00:00:00
157,9,2017-10-18,,1522.33,0.0,0.0,0.0,0.0,MISSED,BRANCH,2017-10-18 00:00:00,2026-07-18 00:00:00
158,9,2017-11-17,2017-11-17,1522.33,1522.33,987.72,534.61,0.0,PAID,AUTOPAY,2017-11-17 00:00:00,2026-07-18 00:00:00
159,9,2017-12-18,2017-12-18,1522.33,1522.33,996.12,526.21,0.0,PAID,AUTOPAY,2017-12-18 00:00:00,2026-07-18 00:00:00
160,9,2018-01-17,2018-02-11,1522.33,1522.33,993.34,517.73,11.26,LATE,ACH,2018-01-17 00:00:00,2026-07-18 00:00:00
161,9,2018-02-17,2018-02-17,1522.33,1522.33,1013.05,509.28,0.0,PAID,ACH,2018-02-17 00:00:00,2026-07-18 00:00:00
162,9,2018-03-19,2018-03-19,1522.33,1522.33,1021.67,500.66,0.0,PAID,ACH,2018-03-19 00:00:00,2026-07-18 00:00:00
163,9,2018-04-18,2018-05-04,1522.33,807.37,315.4,491.97,0.0,PARTIAL,AUTOPAY,2018-04-18 00:00:00,2026-07-18 00:00:00
164,9,2018-05-19,2018-05-19,1522.33,1522.33,1033.05,489.28,0.0,PAID,BRANCH,2018-05-19 00:00:00,2026-07-18 00:00:00
165,9,2018-06-18,2018-06-18,1522.33,1522.33,1041.84,480.49,0.0,PAID,ACH,2018-06-18 00:00:00,2026-07-18 00:00:00
166,9,2018-07-19,2018-07-19,1522.33,1522.33,1050.7,471.63,0.0,PAID,BRANCH,2018-07-19 00:00:00,2026-07-18 00:00:00
167,9,2018-08-18,2018-09-21,1522.33,1522.33,1048.52,462.69,11.12,LATE,BRANCH,2018-08-18 00:00:00,2026-07-18 00:00:00
168,9,2018-09-18,2018-09-18,1522.33,1522.33,1068.56,453.77,0.0,PAID,BRANCH,2018-09-18 00:00:00,2026-07-18 00:00:00
169,9,2018-10-18,2018-10-18,1522.33,1522.33,1077.65,444.68,0.0,PAID,ACH,2018-10-18 00:00:00,2026-07-18 00:00:00
170,9,2018-11-17,2018-11-17,1522.33,1522.33,1086.82,435.51,0.0,PAID,CHECK,2018-11-17 00:00:00,2026-07-18 00:00:00
171,9,2018-12-18,2018-12-18,1522.33,1522.33,1096.07,426.26,0.0,PAID,TRANSFER,2018-12-18 00:00:00,2026-07-18 00:00:00
172,9,2019-01-17,2019-01-17,1522.33,1522.33,1105.4,416.93,0.0,PAID,BRANCH,2019-01-17 00:00:00,2026-07-18 00:00:00
173,9,2019-02-17,2019-02-17,1522.33,1522.33,1114.8,407.53,0.0,PAID,BRANCH,2019-02-17 00:00:00,2026-07-18 00:00:00
174,9,2019-03-19,2019-04-05,1522.33,1522.33,1103.53,398.04,20.76,LATE,TRANSFER,2019-03-19 00:00:00,2026-07-18 00:00:00
175,9,2019-04-19,2019-04-19,1522.33,1522.33,1133.68,388.65,0.0,PAID,CHECK,2019-04-19 00:00:00,2026-07-18 00:00:00
176,10,2025-09-03,2025-09-03,297.53,297.53,232.31,65.22,0.0,PAID,ACH,2025-09-03 00:00:00,2026-07-18 00:00:00
177,10,2025-10-04,2025-10-04,297.53,297.53,233.92,63.61,0.0,PAID,TRANSFER,2025-10-04 00:00:00,2026-07-18 00:00:00
178,10,2025-11-03,2025-11-03,297.53,297.53,235.53,62.0,0.0,PAID,CHECK,2025-11-03 00:00:00,2026-07-18 00:00:00
179,10,2025-12-04,2025-12-04,297.53,297.53,237.15,60.38,0.0,PAID,AUTOPAY,2025-12-04 00:00:00,2026-07-18 00:00:00
180,10,2026-01-03,2026-01-03,297.53,297.53,238.79,58.74,0.0,PAID,BRANCH,2026-01-03 00:00:00,2026-07-18 00:00:00
